id,anio,mes,maquina,central,agente,agente_descripcion,tipo_maquina,fuente_generacion,tecnologia,combustible,consumo,fecha_proceso,lote_id_log,indice_tiempo
222909,2019,10,BBLMDI01,BBLM,CTPBUEMG,CT PIEDRABUENA MG(L.LATA),MOTOR DIESEL,Térmica,DI,GAS OIL,21.239,2020-05-05 11:07:07.467556,67,2019-10
222910,2019,10,BBLMDI02,BBLM,CTPBUEMG,CT PIEDRABUENA MG(L.LATA),MOTOR DIESEL,Térmica,DI,GAS NATURAL,2176.872,2020-05-05 11:07:07.467556,67,2019-10
222911,2019,10,BBLMDI02,BBLM,CTPBUEMG,CT PIEDRABUENA MG(L.LATA),MOTOR DIESEL,Térmica,DI,GAS OIL,24.013,2020-05-05 11:07:07.467556,67,2019-10
222912,2019,10,BBLMDI03,BBLM,CTPBUEMG,CT PIEDRABUENA MG(L.LATA),MOTOR DIESEL,Térmica,DI,GAS NATURAL,2027.139,2020-05-05 11:07:07.467556,67,2019-10
222913,2019,10,BBLMDI03,BBLM,CTPBUEMG,CT PIEDRABUENA MG(L.LATA),MOTOR DIESEL,Térmica,DI,GAS OIL,24.016,2020-05-05 11:07:07.467556,67,2019-10
222914,2019,10,BBLMDI04,BBLM,CTPBUEMG,CT PIEDRABUENA MG(L.LATA),MOTOR DIESEL,Térmica,DI,GAS NATURAL,1864.181,2020-05-05 11:07:07.467556,67,2019-10
222915,2019,10,BBLMDI04,BBLM,CTPBUEMG,CT PIEDRABUENA MG(L.LATA),MOTOR DIESEL,Térmica,DI,GAS OIL,20.414,2020-05-05 11:07:07.467556,67,2019-10
222916,2019,10,BBLMDI05,BBLM,CTPBUEMG,CT PIEDRABUENA MG(L.LATA),MOTOR DIESEL,Térmica,DI,GAS NATURAL,2177.081,2020-05-05 11:07:07.467556,67,2019-10
222917,2019,10,BBLMDI05,BBLM,CTPBUEMG,CT PIEDRABUENA MG(L.LATA),MOTOR DIESEL,Térmica,DI,GAS OIL,22.879,2020-05-05 11:07:07.467556,67,2019-10
222918,2019,10,BBLMDI06,BBLM,CTPBUEMG,CT PIEDRABUENA MG(L.LATA),MOTOR DIESEL,Térmica,DI,GAS NATURAL,1827.535,2020-05-05 11:07:07.467556,67,2019-10
222919,2019,10,BBLMDI06,BBLM,CTPBUEMG,CT PIEDRABUENA MG(L.LATA),MOTOR DIESEL,Térmica,DI,GAS OIL,19.919,2020-05-05 11:07:07.467556,67,2019-10
222920,2019,10,ALUATG07,ALUAR,ALUAMAUG,ALUAR SA - GENERADOR,TURBO GAS,Térmica,CC,GAS NATURAL,9401.306,2020-05-05 11:07:07.467556,67,2019-10
222921,2019,10,ALUATG08,ALUAR,ALUAMAUG,ALUAR SA - GENERADOR,TURBO GAS,Térmica,CC,GAS NATURAL,9207.219,2020-05-05 11:07:07.467556,67,2019-10
222922,2019,10,INDETG04,IND2,CTINDE2G,CT INDEPEND. ETAPA2 G MEDITERR,TURBO GAS,Térmica,TG,GAS NATURAL,356.696,2020-05-05 11:07:07.467556,67,2019-10
222923,2019,10,RENOTG01,RENO,CTRENOVG,CT RENOVA - ALBANESI ENERGIA,TURBO GAS,Térmica,CC,GAS NATURAL,25530.579,2020-05-05 11:07:07.467556,67,2019-10
222924,2019,10,PEDRTG01,PEDR,CTSPEDRG,CT SAN PEDRO - SPI ENERGY SA,TURBO GAS,Térmica,TG,GAS OIL,55.097,2020-05-05 11:07:07.467556,67,2019-10
222925,2019,10,PEDRTG02,PEDR,CTSPEDRG,CT SAN PEDRO - SPI ENERGY SA,TURBO GAS,Térmica,TG,GAS NATURAL,48.599,2020-05-05 11:07:07.467556,67,2019-10
222926,2019,10,PEDRTG02,PEDR,CTSPEDRG,CT SAN PEDRO - SPI ENERGY SA,TURBO GAS,Térmica,TG,GAS OIL,43.721,2020-05-05 11:07:07.467556,67,2019-10
222927,2019,10,VMA2TG01,VMA2,CTVMARIG,CT VILLA MARIA,TURBO GAS,Térmica,TG,GAS NATURAL,11.297,2020-05-05 11:07:07.467556,67,2019-10
222928,2019,10,VMA2TG01,VMA2,CTVMARIG,CT VILLA MARIA,TURBO GAS,Térmica,TG,GAS OIL,64.593,2020-05-05 11:07:07.467556,67,2019-10
222929,2019,10,VMA2TG02,VMA2,CTVMARIG,CT VILLA MARIA,TURBO GAS,Térmica,TG,GAS OIL,59.805,2020-05-05 11:07:07.467556,67,2019-10
222930,2019,10,VMA2TG03,VMA2,CTVMARIG,CT VILLA MARIA,TURBO GAS,Térmica,TG,GAS NATURAL,1092.422,2020-05-05 11:07:07.467556,67,2019-10
222931,2019,10,VMA2TG03,VMA2,CTVMARIG,CT VILLA MARIA,TURBO GAS,Térmica,TG,GAS OIL,58.804,2020-05-05 11:07:07.467556,67,2019-10
222932,2019,10,MALLDI01,MALL,EDELARFG,EDELAR GENERACION,MOTOR DIESEL,Térmica,DI,GAS OIL,109.855,2020-05-05 11:07:07.467556,67,2019-10
